citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
importance-aware-source-channel-coding-for-multi-modal-task-oriented-semantic-communication-2025,2025,Importance-Aware Source-Channel Coding for Multi-Modal Task-Oriented Semantic Communication,Yi Ma; Chunmei Xu; Zhenyu Liu; Siqi Zhang; Rahim Tafazolli,2025 IEEE International Conference on Machine Learning for Communication and Networking (ICMLCN),proceedings-article,10.1109/icmlcn64995.2025.11140558,,,https://doi.org/10.1109/icmlcn64995.2025.11140558,direct,补充数据库轮次核验：指定负责人直接署名（Yi Ma）；Crossref/DBLP 正式 DOI 元数据。,,1,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
a-physical-layer-security-framework-for-irs-assisted-integrated-sensing-and-semantic-communication-systems-2025,2025,A Physical Layer Security Framework for IRS-Assisted Integrated Sensing and Semantic Communication Systems,Hamid Amiriara; Mahtab Mirmohseni; Ahmed Elzanaty; Yi Ma; Rahim Tafazolli,IEEE Transactions on Cognitive Communications and Networking,article,10.1109/tccn.2025.3589577,,,https://doi.org/10.1109/tccn.2025.3589577,direct,补充数据库轮次核验：指定负责人直接署名（Yi Ma）；Crossref/DBLP 正式 DOI 元数据。,,7,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
semantic-mimo-revisiting-linear-precoding-in-the-generative-ai-era-2026,2026,Semantic MIMO: Revisiting Linear Precoding in the Generative AI Era,Chunmei Xu; Yi Ma; Rahim Tafazolli,2026 Joint European Conference on Networks and Communications &amp;amp; 6G Summit (EuCNC/6G Summit),proceedings-article,10.1109/eucnc/6gsummit68295.2026.11577565,,,https://doi.org/10.1109/eucnc/6gsummit68295.2026.11577565,direct,补充数据库轮次核验：指定负责人直接署名（Yi Ma）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
resource-allocation-for-semantic-aware-relay-networks-using-multi-agent-reinforcement-learning-2025,2025,Resource Allocation for Semantic Aware Relay Networks using Multi-Agent Reinforcement Learning,Waleed Ahsan; Chuan Heng Foh; Yi Ma,2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring),proceedings-article,10.1109/vtc2025-spring65109.2025.11174537,,,https://doi.org/10.1109/vtc2025-spring65109.2025.11174537,direct,补充数据库轮次核验：指定负责人直接署名（Yi Ma）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
spatial-temporal-semantic-communications-for-point-cloud-based-volumetric-media-2024,2024,Spatial-temporal Semantic Communications for Point Cloud-based Volumetric Media,Jingxuan Men; Ning Wang; Yi Ma; Peng Qian; Carl C. Udora; Mike Nilsson,ICC 2024 - IEEE International Conference on Communications,proceedings-article,10.1109/icc51166.2024.10622850,,,https://doi.org/10.1109/icc51166.2024.10622850,direct,补充数据库轮次核验：指定负责人直接署名（Yi Ma）；Crossref/DBLP 正式 DOI 元数据。,,3,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
