"year","title","authors","venue","doi","openalex_id","oa_url","cited_by_count","screening_status","screening_reason"
"2022","Beyond Transmitting Bits: Context, Semantics, and Task-Oriented Communications","Denız Gündüz; Zhijin Qin; Iñaki Estella Aguerri; Harpreet S. Dhillon; Zhaohui Yang; Aylin Yener; Kai‐Kit Wong; Chan‐Byoung Chae","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2022.3223408","https://openalex.org/W4313455370",,"636","candidate",""
"2022","Beyond Transmitting Bits: Context, Semantics, and Task-Oriented Communications","Denız Gündüz; Zhijin Qin; Iñaki Estella Aguerri; Harpreet S. Dhillon; Zhaohui Yang; Aylin Yener; Kai‐Kit Wong; Chan‐Byoung Chae","arXiv (Cornell University)","10.48550/arxiv.2207.09353","https://openalex.org/W4286224510","https://arxiv.org/pdf/2207.09353","26","candidate",""
"2022","Deep Learning Enabled Semantic Communications with Speech Recognition and Synthesis","Zhenzi Weng; Zhijin Qin; Xiaoming Tao; Chengkang Pan; Guangyi Liu; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2205.04603","https://openalex.org/W4320813258","https://arxiv.org/pdf/2205.04603","0","candidate",""
"2022","Guest Editorial Special Issue on Beyond Transmitting Bits: Context, Semantics, and Task-Oriented Communications","Denız Gündüz; Zhijin Qin; Iñaki Estella Aguerri; Harpreet S. Dhillon; Zhaohui Yang; Aylin Yener; Kai‐Kit Wong; Chan‐Byoung Chae","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2022.3221853","https://openalex.org/W4311897569","https://ieeexplore.ieee.org/ielx7/49/9991040/09991044.pdf","9","candidate",""
"2022","Guest Editorial: Federated Optimizations and Networked Edge Intelligence","Dan Wang; Zhu Han; Ekram Hossain; Yifei Zhu; Choong Seon Hong; Zhijin Qin","IEEE Network","10.1109/mnet.2022.9964007","https://openalex.org/W4312990995","https://ieeexplore.ieee.org/ielx7/65/9963993/09964007.pdf","2","candidate",""
"2022","QoE-Aware Resource Allocation for Semantic Communication Networks","Lei Yan; Zhijin Qin; Rui Zhang; Yongzhao Li; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2205.14530","https://openalex.org/W4281782432","https://arxiv.org/pdf/2205.14530","2","candidate",""
"2022","QoE-Aware Resource Allocation for Semantic Communication Networks","Lei Yan; Zhijin Qin; Rui Zhang; Yongzhao Li; Geoffrey Ye Li","GLOBECOM 2022 - 2022 IEEE Global Communications Conference","10.1109/globecom48099.2022.10001594","https://openalex.org/W4315629738",,"98","candidate",""
"2022","Resource allocation for text semantic communications","Lei Yan; Zhijin Qin; Rui Zhang; Yongzhao Li; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2201.06023","https://openalex.org/W4303939443","https://doi.org/10.48550/arxiv.2201.06023","0","candidate",""
"2022","Resource Allocation for Text Semantic Communications","Lei Yan; Zhijin Qin; Rui Zhang; Yongzhao Li; Geoffrey Ye Li","IEEE Wireless Communications Letters","10.1109/lwc.2022.3170849","https://openalex.org/W4225009676","https://arxiv.org/pdf/2201.06023","273","candidate",""
"2022","Robust Semantic Communications Against Semantic Noise","Qiyu Hu; Guangyi Zhang; Zhijin Qin; Yunlong Cai; Guanding Yu; Geoffrey Ye Li","2022 IEEE 96th Vehicular Technology Conference (VTC2022-Fall)","10.1109/vtc2022-fall57202.2022.10012843","https://openalex.org/W4317350116",,"92","candidate",""
"2022","Robust Semantic Communications Against Semantic Noise","Qiyu Hu; Guangyi Zhang; Zhijin Qin; Yunlong Cai; Guanding Yu; Li, Geoffrey Ye","arXiv (Cornell University)","10.48550/arxiv.2202.03338","https://openalex.org/W4221161146","https://arxiv.org/pdf/2202.03338","6","candidate",""
"2022","Robust Semantic Communications with Masked VQ-VAE Enabled Codebook","Qiyu Hu; Guangyi Zhang; Zhijin Qin; Yunlong Cai; Guanding Yu; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2206.04011","https://openalex.org/W4281757381","https://arxiv.org/pdf/2206.04011","4","candidate",""
"2022","Semantic Communication for Internet of Vehicles: A Multi-User Cooperative Approach","Wenjun Xu; Yimeng Zhang; Feng‐Yu Wang; Zhijin Qin; Chenyao Liu; Ping Zhang","arXiv (Cornell University)","10.48550/arxiv.2212.03037","https://openalex.org/W4310884177","https://arxiv.org/pdf/2212.03037","5","candidate",""
"2022","Semantic Sensing and Communications for Ultimate Extended Reality","Bowen Zhang; Zhijin Qin; Yiyu Guo; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2212.08533","https://openalex.org/W4311994663","https://arxiv.org/pdf/2212.08533","14","candidate",""
"2022","Series Editorial The Sixth Issue of the Series on Machine Learning in Communications and Networks","Geoffrey Ye Li; Walid Saad; Ayfer Özgür; Peter Kairouz; Zhijin Qin; Jakob Hoydis; Zhu Han; Denız Gündüz; Jaafar M. H. Elmirghani","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2022.3190650","https://openalex.org/W4292347968","https://ieeexplore.ieee.org/ielx7/49/9863724/09863725.pdf","0","candidate",""
"2022","Task-Oriented Image Transmission for Scene Classification in Unmanned Aerial Systems","Xu Kang; Bin Song; Jie Guo; Zhijin Qin; F. Richard Yu","IEEE Transactions on Communications","10.1109/tcomm.2022.3182325","https://openalex.org/W4226047696",,"128","candidate",""
"2022","Task-Oriented Multi-User Semantic Communications","Huiqiang Xie; Zhijin Qin; Xiaoming Tao; Khaled B. Letaief","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2022.3191326","https://openalex.org/W4226115138",,"397","candidate",""
"2022","The Fifth Issue of the Series on Machine Learning in Communications and Networks","Geoffrey Ye Li; Walid Saad; Ayfer Özgür; Peter Kairouz; Zhijin Qin; Jakob Hoydis; Zhu Han; Denız Gündüz; Jaafar M. H. Elmirghani","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2022.3181863","https://openalex.org/W4285490098","https://ieeexplore.ieee.org/ielx7/49/9830856/09830733.pdf","0","candidate",""
"2022","Vector Quantized Semantic Communication System","Qifan Fu; Huiqiang Xie; Zhijin Qin; Greg Slabaugh; Xiaoming Tao","arXiv (Cornell University)","10.48550/arxiv.2209.11519","https://openalex.org/W4297164504","https://arxiv.org/pdf/2209.11519","6","candidate",""
"2023","A GAN-based Semantic Communication for Text without CSI","Jin Mao; Ke Xiong; Ming Liu; Zhijin Qin; Wei Chen; Pingyi Fan; Khaled B. Letaief","arXiv (Cornell University)","10.48550/arxiv.2312.16909","https://openalex.org/W4390437755","https://arxiv.org/pdf/2312.16909","0","candidate",""
"2023","A Generalized Semantic Communication System: From Sources to Channels","Zhijin Qin; Feifei Gao; Bo Lin; Xiaoming Tao; Guangyi Liu; Chengkang Pan","IEEE Wireless Communications","10.1109/mwc.013.2200553","https://openalex.org/W4384158383",,"65","candidate",""
"2023","A Generalized Semantic Communication System: from Sources to Channels","Zhijin Qin; Feifei Gao; Bo Lin; Xiaoming Tao; Guangyi Liu; Chengkang Pan","ArXiv.org","10.48550/arxiv.2301.04552","https://openalex.org/W4315881996","https://arxiv.org/pdf/2301.04552","2","candidate",""
"2023","Adaptive Resource Allocation for Semantic Communication Networks","Lingyi Wang; Wei Wu; Fuhui Zhou; Zhaohui Yang; Zhijin Qin","arXiv (Cornell University)","10.48550/arxiv.2312.01081","https://openalex.org/W4389363292","https://arxiv.org/pdf/2312.01081","0","candidate",""
"2023","Compression Ratio Learning and Semantic Communications for Video Imaging","Bowen Zhang; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2310.06246","https://openalex.org/W4387560866","https://arxiv.org/pdf/2310.06246","0","candidate",""
"2023","Computing Networks Enabled Semantic Communications","Zhijin Qin; Jingkai Ying; Dingxi Yang; Hengjiang Wang; Xiaoming Tao","arXiv (Cornell University)","10.48550/arxiv.2312.00740","https://openalex.org/W4389326224","https://arxiv.org/pdf/2312.00740","0","candidate",""
"2023","Deep Learning Enabled Semantic Communications With Speech Recognition and Synthesis","Zhenzi Weng; Zhijin Qin; Xiaoming Tao; Chengkang Pan; Guangyi Liu; Geoffrey Ye Li","IEEE Transactions on Wireless Communications","10.1109/twc.2023.3240969","https://openalex.org/W4319302797","https://ieeexplore.ieee.org/ielx7/7693/4656680/10038754.pdf","253","candidate",""
