citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
diffusion-posterior-sampling-with-channel-feedback-for-adaptive-semantic-communication-2026,2026,Diffusion Posterior Sampling with Channel Feedback for Adaptive Semantic Communication,Bingxuan Xu; Haotian Wu; Xiaodong Xu; Deniz Gunduz,ICC 2026 - IEEE International Conference on Communications,proceedings-article,10.1109/icc59461.2026.11587816,,,https://doi.org/10.1109/icc59461.2026.11587816,direct,"补充数据库轮次核验：指定负责人直接署名（Deniz Gunduz, Deniz Gündüz）；Crossref/DBLP 正式 DOI 元数据。",,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
compression-beyond-pixels-semantic-compression-with-multimodal-foundation-models-2025,2025,Compression Beyond Pixels: Semantic Compression with Multimodal Foundation Models,Ruiqi Shen; Haotian Wu; Wenjing Zhang; Jiangjing Hu; Deniz Gunduz,2025 IEEE 35th International Workshop on Machine Learning for Signal Processing (MLSP),proceedings-article,10.1109/mlsp62443.2025.11204229,,,https://doi.org/10.1109/mlsp62443.2025.11204229,direct,"补充数据库轮次核验：指定负责人直接署名（Deniz Gunduz, Deniz Gündüz）；Crossref/DBLP 正式 DOI 元数据。",,1,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
token-domain-multiple-access-exploiting-semantic-orthogonality-for-collision-mitigation-2025,2025,Token-Domain Multiple Access: Exploiting Semantic Orthogonality for Collision Mitigation,Li Qiao; Mahdi Boloursaz Mashhadi; Zhen Gao; Deniz Gündüz,IEEE INFOCOM 2025 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),proceedings-article,10.1109/infocomwkshps65812.2025.11152964,,,https://doi.org/10.1109/infocomwkshps65812.2025.11152964,direct,"补充数据库轮次核验：指定负责人直接署名（Deniz Gunduz, Deniz Gündüz）；Crossref/DBLP 正式 DOI 元数据。",,8,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
goal-oriented-joint-sourcechannel-coding-distortionclassificationpower-trade-off-2025,2025,Goal-Oriented Joint Source–Channel Coding: Distortion–Classification–Power Trade-off,Andriy Enttsel; Weicheng Wang; Mauro Mangia; R. Rovatti; Deniz Gunduz,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",proceedings-article,10.1109/icassp55912.2026.11462345,,,https://doi.org/10.1109/icassp55912.2026.11462345,direct,"补充数据库轮次核验：指定负责人直接署名（Deniz Gunduz, Deniz Gündüz）；Crossref/DBLP 正式 DOI 元数据。",,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
diffusion-aided-extreme-video-compression-with-lightweight-semantics-guidance-2026,2026,Diffusion-Aided Extreme Video Compression with Lightweight Semantics Guidance,Maojun Zhang; Haotian Wu; Richeng Jin; Deniz Gunduz; K. Mikolajczyk,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",proceedings-article,10.1109/icassp55912.2026.11464112,,,https://doi.org/10.1109/icassp55912.2026.11464112,direct,"补充数据库轮次核验：指定负责人直接署名（Deniz Gunduz, Deniz Gündüz）；Crossref/DBLP 正式 DOI 元数据。",,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
multi-hop-deep-joint-source-channel-coding-with-deep-hash-distillation-for-semantically-aligned-image-recovery-2025,2025,Multi-Hop Deep Joint Source-Channel Coding With Deep Hash Distillation for Semantically Aligned Image Recovery,Didrik Bergstrom; Deniz Gunduz; Onur Gunlu,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",proceedings-article,10.1109/icassp55912.2026.11462344,,,https://doi.org/10.1109/icassp55912.2026.11462344,direct,"补充数据库轮次核验：指定负责人直接署名（Deniz Gunduz, Deniz Gündüz）；Crossref/DBLP 正式 DOI 元数据。",,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
