year,volume,issue,pages,title,authors,venue,doi,screening_status,screening_reason,publication_year_basis
2026,,,,DRFC: An End-to-End Deep Dynamic RF Signal Compression Framework,Xihua Sheng; Peilin Chen; Shiqi Wang; Dapeng Wu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3596840,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Da Yu: Toward ASV-Based Image Captioning for Waterway Surveillance and Scene Understanding,Runwei Guan; Ningwei Ouyang; T. T. Xu; Shaofeng Liang; Wei Dai; Yafeng Sun; S. S. Gao; Songning Lai; Shanliang Yao; Xinyue Hu; Ryan Wen Liu; Yutao Yue; Hui Hua Xiong,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3651269,excluded,"computer-vision semantics, not communication/coding/transmission",
2026,,,,Deep Underwater Image Quality Assessment via Progressive Physics-Aware Multi-Prior Collaboration,Zihan Zhou; Jiaxue Lan; Yun Liang; Weiwei Cai; Jing Li; Yong Xu; Patrick Le Callet,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3639385,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,DeepVault: An NTRU-Based Data Hiding Scheme for Securing Underwater Acoustic Sensor Networks,Ming Xu; Tongtong Guo; Ling Liu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3694164,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,DeskPred: Two-Stage Video Stream Bandwidth Prediction for Cold-Start and Training Forgetting in Cloud Desktops,Zuodong Jin; Dan Tao; Peng Qi; Jiayu Zhang; Gang Han; Ruipeng Gao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3632222,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Diff-Restorer: Unleashing Visual Prompts for Diffusion-Based Universal Image Restoration,Yuhong Zhang; Hengsheng Zhang; Xinning Chai; Zhengxue Cheng; Rong Xie; Li Song; Wenjun Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3629686,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,DocPure: Prompt-Free Unified Document Restoration via Degradation-Aware Structure-Guided Wavelet Modulation,Lingming Sui; Wanglong Lu; Tao Wang; Kaihao Zhang; Nan Zhang; 安礼艳; Hanli Zhao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3720433,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,Dynamic Weight-Enhanced Contrastive Learning for Partially View-Aligned Clustering,Qiuyu Chen; Xihong Yang; Zhibing Dong; Qian Qu; En Zhu; Xinwang Liu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3679096,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,E2SRLF: End-to-End Light Field Image Super-Resolution Depth Estimation,Jie Li; Chuanlun Zhang; Xiaoyan Wang; Xinjia Li; Lin Wang; Yuxin Zeng; Yiguang Liu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3651331,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,EPS: Efficient Patch Sampling for Video Overfitting in Deep Super-Resolution Model Training,Yiying Wei; Hadi Amirpour; Jong Hwan Ko; Christian Timmerer,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3684857,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,EctFormer: High-Imperceptibility Deep Image Steganography Based on Empirical Mode Decomposition,Xintao Duan; Sen Li; Zhao Wang; Bingxin Wei; Haewoon Nam; Chuan Qin,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3603961,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,1-1,FCPA-Net: Fourier Channel Prior Attention Network for Blind Light Field Image Quality Assessment,Jian Ma; Chengwei Wang; Ping An; Guoming Xu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3716418,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,FoV Prediction-Based Adaptive Bitrate Streaming With On-Demand Transcoding for 360° Videos,Guoxiao Yin; Haixia Zhang; Dongyang Li; Xiaotian Zhou,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3639684,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Fusing Quality-Aware Model and Large Language Model for Industrial Image Quality Assessment,Hongyan Liu; Shu Jin; Ke Gu; Xue Shen; Lai-Kuan Wong; Weisi Lin; Guangtao Zhai; Wei Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3694600,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,Future Fixation Sequence Prediction for Audio-Visual 360° Videos,Yucheng Zhu; Guangtao Zhai; Xiongkuo Min; Yunhao Li; Long Teng; Huiyu Duan; Liang Yuan; Xiaokang Yang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3572380,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,GSCodec Studio: A Modular Framework for Gaussian Splat Compression,Sicheng Li; Chengzhen Wu; Hao Li; Xiang Gao; Yiyi Liao; Yu Ls,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3654794,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Glob-Diffusion: A Global Consistent Diffusion Model for Large-Scale Image Generation,Yu-Kyung Kang; Hengcan Shi; Hao Liu; Weiying Xie; Leyuan Fang; Lorenzo Bruzzone,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3643743,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,Harmonizing Text-Guided Video Inpainting With Optical Flow Diffusion,Bohai Gu; Song Guo,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3680155,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,Harnessing Complex-Valued Chaos in Discrete-Time Hopfield Neural Network for Secure Image Encryption,Quanli Deng; Chunhua Wang; Yichuang Sun; Gang Yang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3675782,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Illumination Refinement via Textual Cues: A Prompt-Driven Approach for Low-Light NeRF Enhancement,X. Ju; Yang Zou; Xingyuan Li; Zirui Wang; Jun Ma; Zhiying Jiang; Jinyuan Liu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3604241,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,LayerDiffusion: High-Fidelity Layered Virtual Try-On via Semantic-Aware Diffusion,Fangjian Liao; Xingxing Zou; Waikeung Wong,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3679372,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,Learned Point Cloud Attribute Compression With Cross-Scale Point Transformer and Geometry-Aware Context Prediction Entropy Model,Xiao Huo; Wei Zhang; Fuzheng Yang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3624688,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Medical Data Security in Blockchain: A Telemedicine Data Sharing Scheme Based on Custom OPE and 4D-YG Hyperchaotic,Zhenlong Man; Chang Gao; Ze Yu; Xiangfu Meng,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3657760,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Memristive Neural Network With Controllable Extreme Multistability and Its Application in Multi-Type Medical Multimedia Data Encryption,Xiangxin Leng; Xiaoping Wang; Zheyi Zhang; Zhigang Zeng,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3678993,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,1-1,Multi-View Image Guided Spatio-Channel Mixed Entropy Model for Point Cloud Geometry Compression,Xueqiang Sun; Jin Wang; Yunhui Shi; Li Li; Nam Ling; Baocai Yin,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3723159,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,No-Reference Quality Assessment of 3D Models Represented in Neural Radiance Fields and 3D Gaussian Splattings,Zhengyu Zhang; Yuhang Zhang; Tiantian Zeng; Shishun Tian; L Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3685278,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,36,1,219-232,Oriented Decoupling Target Detection Method for SAR Image Based on Multi-Channel Localization and Soft Thresholding,Gui Gao; Gang Yang; Yajun Wang; Libo Yao; Xi Zhang; Gaosheng Li,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3597158,excluded,"computer-vision semantics, not communication/coding/transmission",
2026,,,,PVF-DectNet++: Adaptive Multi-Modal Fusion With Perspective Voxels for 3D Object Detection,Ke Wang; Weilin Gao; Kai Chen; Tianyi Shao; Liyang Li; Tianqiang Zhou; Jianbo Lǚ,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3650671,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,Pixel-Level Just Noticeable Difference in Sonar Images: Modeling and Applications,Weiling Chen; Weiming Lin; Qianxue Feng; Rongxin Zhang; Tiesong Zhao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3596153,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,Pixel-Level Tiling with End-to-End Neural Compression for Tile-Based Video Streaming,Yili Jin; Dayou Zhang; Hao Zhu; Fangxin Wang; Jiangchuan Liu; Xue Liu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3690578,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Pre-Trained Prior-Assisted Dynamic Point Cloud Compression via Feature Prediction,Yichen Zhou; Xinfeng Zhang; Yingzhan Xu; Kai Zhang; Li Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3686193,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Pseudocylindrical Convolutions for Learned Omnidirectional Image Compression,Mu Li; Kede Ma; Jinxing Li; David Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3638018,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,RSVDet: Remote Sensing Small Object Detection Model Inspired by Neuronal Mechanisms in Visual Pathways,Xiongzhen Wang; Chuan Lin; Yongcai Pan; Ruopu Wang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3628010,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,RTGSR: Real-Time Game Content Super-Resolution via Compressed-Domain Coding Priors,Qizhe Wang; Jiaqi Zhang; Yanchen Zhao; Haoqing Yu; Feng Gao; Siwei Ma,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3651760,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,ReFHD-Net: A Reversible Functionality Hiding Framework for Deep Neural Networks,Na Wang; Pengpeng Li; Lin Huang; Fang Cao; Xinyi Wang; Chuan Qin,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3632812,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,Robust Coverless Information Hiding with Object-Presence Hashing and Vision Transformer-U-Net based Reconstruction,Sangeeta Gautam; Manoj Kumar,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3700219,excluded,"computer-vision semantics, not communication/coding/transmission",
2026,,,,Robust Secret Image Sharing Against Malicious Shadow Images by Reusing Polynomial Coefficients With Hash Function,Lizhi Xiong; Siqi Wang; Ching-Nung Yang; Zhangjie Fu; Chunqiang Yu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3639108,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,SEVMark: Spatio-Temporally Enhanced Video Watermarking via Invertible Neural Networks,Songhan He; Dawen Xu; Lin Yang; Haojun Dai; Jianbin Ji,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3662438,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,Shuffle Mamba: State Space Models With Random Shuffle for Multi-Modal Image Fusion,Ke Cao; Xuanhua He; Tao Hu; Chengjun Xie; Man Zhou; Jie Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3668923,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,Sparse Hyperspectral Band Selection Based on Expectation Maximization,Likun Gao; Xinhui Xue; Haowen Zheng,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3597604,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,Spectrum Aware Illumination Estimation Using Multispectral Image,Hyejin Oh; Woo-Shik Kim; Sangyoon Lee; YungKyung Park; Je‐Won Kang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3701975,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,Steganography via Neural Network Parameter Initialization With High Fidelity and Imperceptibility,Na Wang; Chenyi Xu; Fang Cao; Lin Huang; Wei Wang; Chuan Qin,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3634666,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,Subjective and Objective Quality-of-Experience Evaluation Study for Live Video Streaming,Zhiyu Zhu; Wei Sun; Jun Jia; Wu Wei; Sibin Deng; Kai Li; Xiongkuo Min; Jia Wang; Ying Chen; Guangtao Zhai,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3689180,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,SyMFood: Synergistic Multi-Modal Prompting for Fine-Grained Zero-Shot Food Detection,Xinlong Wang; Weiqing Min; Shoulong Liu; Guorui Sheng; Shuqiang Jiang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3668226,excluded,"computer-vision semantics, not communication/coding/transmission",
2026,,,,TDHF: Task-Driven Hierarchical Image Fusion Under Low-Light Conditions,Daoheng Li; Mengkai Yan; Jun Li; Jian Yang; Jianjun Qian,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3635231,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,1-1,TMamba: Global Channel-Location Token Interaction for Multi-Modality Image Fusion,Chenguang Zhu; Huafeng Chen; Guangqian Guo; Dongsheng Yang; Kai Zhang; Shan Gao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3691760,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,1-1,TriMRG: Toward Hallucination-Resistant Medical Image Report Generation via Triple Graph Semantic Reasoning and Rethinking,Zehui Feng; Dian Zhu; Jianan Zhao; Peiquan Zhao; Jianing Ren; Ting Han,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3712885,excluded,broad full-journal search hit outside the visual semantic-communication scope,
2026,,,,Underwater Image Enhancement via Advantage Feature Weighted Fusion,Weidong Zhang; Muzi Wang; Peixian Zhuang; Dahai Liu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3603059,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,Underwater Scene Clarity Reconstruction via Multilayer Information Fusion and Self-Organized Stitching,Weibo Zhang; Hao Wang; Peng Ren; Weidong Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3608828,excluded,image processing/security without a semantic-communication or visual-delivery system,
2026,,,,WmLSTM: A Plug-and-Play Window-Level mLSTM-Based Temporal Encoder for Robust Visual Tracking,Yao Chen; Guancheng Jia; Ding Ma; Yufei Zha; Peng Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3662479,excluded,ordinary visual coding/streaming hit without sufficient semantic/task/channel relevance,
2026,,,,ZRID-Net: Zero-Reference Real-World Image Dehazing Framework via Deep Self-Decoupling and Reverse Knowledge Transfer,Shilong Wang; Wenqi Ren; Peng Gao; Jiguo Yu; Jianlei Liu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3609735,excluded,image processing/security without a semantic-communication or visual-delivery system,
