year,title,authors,venue,doi,volume,issue,pages,sources,matched_queries,screening_status,screening_reason
2025,Scalable Multi-Task Edge Sensing via Task-Oriented Joint Information Gathering and Broadcast,Huawei Hou; Suzhi Bi; Xian Li; Shuoyao Wang; Liping Qian; Zhi Quan,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3574442,24,11,9613-9628,Crossref; OpenAlex,Task-Oriented; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2025,Semantic Base Enabled Image Transmission With Fine-Grained HARQ,Yuan Zheng; Fengyu Wang; Wenjun Xu; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3532501,24,4,3606-3622,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2025,Semantic Communication Enabled 6G-NTN Framework: A Novel Denoising and Gateway Hop Integration Mechanism,Loc X. Nguyen; Sheikh Salman Hassan; Yan Kyaw Tun; Kitae Kim; Zhu Han; Choong Seon Hong,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3578010,24,12,10149-10165,Crossref; OpenAlex,Semantic; wireless video transmission,candidate,pending manual title/abstract/full-text screening
2025,Semantic Prior Aided Channel-Adaptive Equalizing and De-Noising Semantic Communication System With Latent Diffusion Model,Bingxuan Xu; Shujun Han; Xiaodong Xu; Weizhi Li; Rui Meng; Chen Dong; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3543167,24,6,4614-4630,Crossref; OpenAlex,Semantic; semantic communication,candidate,pending manual title/abstract/full-text screening
2025,Semantic-Aided Parallel Image Transmission Compatible With Practical System,Mingkai Xu; Yongpeng Wu; Yuxuan Shi; Xiang-Gen Xia; Mérouane Debbah; Wenjun Zhang; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3566886,24,10,8476-8491,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2025,Semantics-Empowered Non-Orthogonal Multiple Access for Downlink Transmission of Correlated Information Sources,Weizhi Li; Yucheng Liu; Chen Dong; Xiaodong Xu; Ping Zhang; Lin Li,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3563243,24,9,7874-7891,Crossref; OpenAlex,Semantic; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2025,Synchronous Multi-Modal Semantic Communication System With Packet-Level Coding,Yun Tian; Jingkai Ying; Zhijin Qin; Ye Jin; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3534995,24,5,3684-3697,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2025,Synesthesia of Machines (SoM)-Based Task-Driven MIMO System for Image Transmission,Sijiang Li; Rongqing Zhang; Xiang Cheng; Jian Tang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3606237,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2025,Task-Oriented Low-Label Semantic Communication With Self-Supervised Learning,Run Gu; Wei Xu; Zhaohui Yang; Dusit Niyato; Aylin Yener,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3574468,24,11,9629-9644,Crossref; OpenAlex,Semantic; Task-Oriented; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2025,Turbocharging Fluid Antenna Multiple Access,Noor Waqar; Kai‐Kit Wong; Chan‐Byoung Chae; Ross Murch,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3607824,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2025,Unified Timing Analysis for Closed-Loop Goal-Oriented Wireless Communication,Lintao Li; Anders E. Kalør; Petar Popovski; Wei Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3525087,24,4,2814-2831,Crossref; OpenAlex,Goal-Oriented; goal-oriented communication,candidate,pending manual title/abstract/full-text screening
2025,Visual Language Model-Based Cross-Modal Semantic Communication Systems,Feibo Jiang; Chuanguo Tang; Li Dong; Kezhi Wang; Kun Yang; Cunhua Pan,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3539526,24,5,3937-3948,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2026,3D Deployment of UAV-BSs in Semantic Communication Networks: Mean-Field Multi-Agent Reinforcement Learning Approach,Hui Li; Kun Zhu; Tianxu Li; Heng Zhu; Jingfeng Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3641947,25,,9844-9858,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,A Lightweight Gated Convolution and Attention Joint Source–Channel Coding Architecture for Bandwidth-Limited Wireless Image Transmission,Helin Yang; Junhong Zhang; Changyuan Xu; Zeqi Huang; Jiawen Kang; Jiangtian Nie,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3706543,25,,19193-19208,Crossref; OpenAlex,Joint Source–Channel; Wireless Image Transmission; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,A MIMO-Aided Semantic Covert Communication Approach Using Excess Distortion Exponent Optimization,Yunfan Bai; Yuwen Qian; Zhen Mei; Long Shi; Wei Zhu; Feng Shu; Shuning Zhang; Jun Li,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3714594,25,,20387-20402,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,A Semantic-Empowered Free-Space Optical Communication System With Turbulence-Resilient Vector Beams,Yuan Wei; Chaoxu Chen; Li Yao; Haoyu Zhang; Fang Dong; Fujie Li; Fang Wei; Guowei Jiang; Feng Bao; Yingjun Zhou; Ziwei Li; Chao Shen; Junwen Zhang; Nan Chi; Jianyang Shi,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3659523,25,,11530-11545,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2026,A Superimposed Pilot Design Method for Semantic Transmission Over Doubly Selective Channel,Haotai Liang; Xiaoyi Liu; Chen Dong; Xiaodong Xu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3650161,25,,10371-10386,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Active Movable-Element RIS Assisted Vehicular Semantic Communications: Modeling and Optimization,Maoxin Ji; Qiong Wu; Jingbo Zhang; Pingyi Fan; Kezhi Wang; Wen Chen; Guoqiang Mao; Khaled B. Letaief,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3716064,25,,20588-20605,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Adaptive Semantic Communication System for High-Quality Remote Sensing Image Transmission in Unstable Wireless Environments,Zhangyayu Tan; Caiping Liu; Kun Xie; Yudian Ouyang; Jigang Wen; Guangxing Zhang; Dong Chen; Gaogang Xie; Kenli Li,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3600880,25,,3001-3015,Crossref; OpenAlex,DeepJSCC; Semantic,candidate,pending manual title/abstract/full-text screening
2026,Adaptive Semantic Speech Transmission for High-Speed Scenarios,Fangyu Liu; Peiwen Jiang; Wenjin Wang; Xingyu Zhou; Jing Zhang; Chao-Kai Wen; Shi Jin,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3601158,25,,3060-3074,Crossref; OpenAlex,Semantic; semantic transmission,candidate,pending manual title/abstract/full-text screening
2026,Adaptive Source–Channel Coding for Multi-User Semantic and Data Communications,Kai Yuan; Dongxu Li; Jianhao Huang; Han Zhang; Chuan Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3679927,25,,14766-14780,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2026,Age of Semantic Information-Aware Wireless Transmission for Remote Monitoring Systems,Xue Han; Biqian Feng; Yongpeng Wu; Xiang-Gen Xia; Wenjun Zhang; Shengli Sun,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3600511,25,,2939-2953,Crossref; OpenAlex,Semantic; wireless video transmission,candidate,pending manual title/abstract/full-text screening
2026,Channel Semantic Characterization for Integrated Sensing and Communication Scenarios: From Measurements to Modeling,Zhengyu Zhang; Ruisi He; Bo Ai; Mi Yang; Xuejian Zhang; Ziyi Qi; Zhangdui Zhong,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3667552,25,,13073-13089,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,CoDS: Collaborative Perception via Digital Semantic Communication,Jipeng Gan; Le Liang; Hua Zhang; Chongtao Guo; Shi Jin,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3698559,25,,18229-18245,Crossref; OpenAlex,Semantic; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Coarse-to-Fine: A Dual-Phase Channel-Adaptive Method for Wireless Image Transmission,Hanlei Li; Guangyi Zhang; Kequan Zhou; Yunlong Cai; Guanding Yu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3597717,25,,2607-2623,Crossref; OpenAlex,Wireless Image Transmission; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Coded Semantic-Aware Coordinated Transmission in Cohesive Clustered Satellite Systems: An Incremental MADRL Approach,Liang Xu; Jian Jiao; Xingjian Zhang; Ye Wang; Qinyu Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3624727,25,,6362-6378,Crossref,Semantic,candidate,pending manual title/abstract/full-text screening
2026,DGSemCom: Digital Generative Semantic Communications via Discrete Denoising Diffusion Model for Latent Error Correction,Junxiao Liang; Wenjun Xu; Long Liu; Fengyu Wang; Xiaodong Xu; Jiejie Guo; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3709956,25,,19482-19497,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,DRL-Driven Resource Allocation for Hybrid NOMA-Assisted Semantic Communication Networks,Haijun Zhang; Jiaxin Ni; Xiangnan Liu; Yuzheng Ren; Zijun Wu; Victor C. M. Leung,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3686618,25,,15791-15802,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Deep Learning-Based Dynamic Environment Reconstruction for Vehicular ISAC Scenarios,Junzhe Song; Ruisi He; Mi Yang; Zhengyu Zhang; Bingcheng Liu; Jiahui Han; Haoxiang Zhang; Bo Ai,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3676063,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Diffusion-Based Trajectory and Semantic Resource Optimization in UAV-Assisted Edge Computing,Chen Wang; Ruonan Zhang; Zehui Xiong; Daosen Zhai; Dusit Niyato; Zhu Han,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3657387,25,,11672-11687,Crossref; OpenAlex,Semantic; wireless video transmission,candidate,pending manual title/abstract/full-text screening
2026,Diffusion-Enabled Secure Semantic Communication Against Eavesdropping,Boxiang He; Zihan Chen; Fanggang Wang; Shilian Wang; Zhijin Qin; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3670608,25,,13430-13446,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Digital Semantic Communications: An Alternating Multi-Phase Training Strategy With Mask Attack,Mingze Gong; Shuoyao Wang; Suzhi Bi; Yuan Wu; Liping Qian,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3611141,25,,4452-4466,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2026,ESC-MVQ: End-to-End Semantic Communication With Multi-Codebook Vector Quantization,Junyong Shin; Yongjeong Oh; Jinsung Park; Joohyuk Park; Yo-Seb Jeon,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3605838,25,,3785-3800,Crossref; OpenAlex,Semantic; semantic communication,candidate,pending manual title/abstract/full-text screening
2026,Enabling Terahertz Communications in Vehicular Networks: Continuous Beam Coverage and Semantic NOMA,Hanwen Zhang; Tianchi Zhou; Supeng Leng; Hongxin Zeng; Xianbing Zou; Yaxin Zhang; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3711128,25,,19921-19936,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Feature-Foundation Model Evolution for Low-Latency Semantic Communication,Haobo Zhang; Boya Di; Hongliang Zhang; Dusit Niyato; Lingyang Song,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3659294,25,,11915-11931,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Feature-Sensitivity-Aware Quantization and Joint Multi-Streaming Design for Latency-Constrained Multi-Task Semantic Communications,Huanyu Zhang; Yulin Hu; Xiaopeng Yuan; Anke Schmeink,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3718740,25,,21388-21402,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Flexible Bit and Semantic On-Demand Transmission Framework in Hyper-Reliable and Low Latency Communications Scenarios,Jingxuan Zhang; Xiqi Cheng; Haijun Zhang; Peng Cui; Suyu Lv; Xiaodong Xu; Ping Zhang; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3598278,25,,2668-2681,Crossref; OpenAlex,Semantic; semantic transmission,candidate,pending manual title/abstract/full-text screening
2026,Foundation Model-Aided Channel-Adaptive Video Semantic Communication and Prototype Validation,Jiarun Ding; Peiwen Jiang; Chao-Kai Wen; Xiao Li; Shi Jin,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3600221,25,,2892-2906,Crossref; OpenAlex,Semantic; wireless video transmission,candidate,pending manual title/abstract/full-text screening
2026,Generative AI Driven Task-Oriented Adaptive Semantic Communications,Yuzhou Fu; Wenchi Cheng; Jingqing Wang; Liuguo Yin; Wei Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3644355,25,,9078-9093,Crossref; OpenAlex,Semantic; Task-Oriented; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Generative Feature Imputing—A Technique for Error-Resilient Semantic Communication,Jianhao Huang; Qunsong Zeng; Hongyang Du; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3700909,25,,18410-18423,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Generative Semantic Communications for Robust Speech-to-Text Translation,Zhenzi Weng; Zijing Wang; Zhijin Qin; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3590671,25,,1380-1393,Crossref; OpenAlex,Semantic; semantic transmission,candidate,pending manual title/abstract/full-text screening
2026,Goal-Oriented Semantic Communication for ISAC-Enabled Robotic Obstacle Avoidance,Wenjie Liu; Yansha Deng; Henk Wymeersch,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3716013,25,,20820-20835,Crossref; OpenAlex,Goal-Oriented; Semantic; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Goal-Oriented Semantic Communication for Wireless Video Transmission via Generative AI,Nan Li; Yansha Deng; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3654401,25,,10841-10854,Crossref; OpenAlex,Goal-Oriented; Semantic; Wireless Video Transmission; wireless video transmission,candidate,pending manual title/abstract/full-text screening
2026,Goal-Oriented Semantic Communications Enabled by Generative AI and Optimal Transport for Metaverse Construction,Zhe Wang; Nan Li; Yansha Deng; A. Hamid Aghvami,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3707742,25,,20040-20053,Crossref; OpenAlex,Goal-Oriented; Semantic; wireless video transmission,candidate,pending manual title/abstract/full-text screening
2026,Goal-Oriented Transmission Scheduling: Structure-Guided DRL With a Unified Dual On-Policy and Off-Policy Approach,Jiazheng Chen; Wanchun Liu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3627531,25,,6887-6903,Crossref; OpenAlex,Goal-Oriented; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Holographic Beamforming for Semantic Communication,Shuhao Zeng; Haobo Zhang; Su Wang; Boya Di; Hongliang Zhang; Zhu Han; H. Vincent Poor; Lingyang Song,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3707475,25,,19307-19324,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Hybrid-Action DRL-Based Resource Allocation for Semantic-Aware Computation Offloading in Vehicular Edge Networks,Quan Chen; Xiaoqin Song; Tiecheng Song; Yang Yang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3626670,25,,6790-6805,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Importance-Aware Semantic Communication in MIMO-OFDM Systems Using Vision Transformer,Joohyuk Park; Yongjeong Oh; Jihun Park; Yo-Seb Jeon,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3665639,25,,13494-13510,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,In-Context Learning for Deep Joint Source-Channel Coding Over MIMO Channels,Meng Hua; Wenjing Zhang; Chenghong Bian; Deniz Gündüz,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3697658,25,,18088-18102,Crossref; OpenAlex,Joint Source-Channel; wireless video transmission,candidate,pending manual title/abstract/full-text screening
2026,Joint Optimization of Digital Semantic Communication and Radar Sensing for Enhanced ISAC,Ouwen Huan; Chuanhong Liu; Nuocheng Yang; Zhilong Zhang; Tao Luo; Mingzhe Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3690165,25,,16730-16744,Crossref; OpenAlex,Semantic; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Joint Power and Spectrum Orchestration for D2D Semantic Communication Underlying Energy-Efficient Cellular Networks,Le Xia; Yao Sun; Haijian Sun; Rose Qingyang Hu; Dusit Niyato; Muhammad Ali Imran,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3612327,25,,4579-4594,Crossref,Semantic,candidate,pending manual title/abstract/full-text screening
2026,Joint Semantic-Channel Coding and Modulation for Token Communications,Jingkai Ying; Zhijin Qin; Yulong Feng; Liejun Wang; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3636174,25,,8179-8193,Crossref; OpenAlex,Semantic; Token Communication; token communication,candidate,pending manual title/abstract/full-text screening
2026,Joint Source-Channel Coding for Task-Oriented Broadcast Communications: An Information Bottleneck Approach With Rate Splitting,Youlong Wu; Jingfeng Huang; Yuanming Shi; Shuai Ma; Kai Niu; Meixia Tao; Khaled B. Letaief,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3671290,25,,14023-14036,Crossref; OpenAlex,Joint Source-Channel; Task-Oriented; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Knowledge Distillation-Driven Semantic NOMA for Image Transmission With Diffusion Model,Qifei Wang; Zhen Gao; Shuo Sun; Zhijin Qin; Xiaodong Xu; Meixia Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3658710,25,,11783-11798,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2026,Land-Then-Transport: A Flow Matching-Based Generative Decoder for Wireless Image Transmission,Jingwen Fu; Ming Xiao; Mikael Skoglund; Dong In Kim,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3710439,25,,19757-19772,Crossref; OpenAlex,Wireless Image Transmission; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Large Generative Model Assisted 3D Semantic Communication,Yubo Peng; Feibo Jiang; Li Dong; Kezhi Wang; Kun Yang; Cunhua Pan; Xiaohu You,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3624573,25,,6347-6361,Crossref,Semantic,candidate,pending manual title/abstract/full-text screening
2026,Large Wireless Localization Model (LWLM): A Foundation Model for Positioning in 6G Networks,Guangjin Pan; Kaixuan Huang; Hui Chen; Shunqing Zhang; Christian Häger; Henk Wymeersch,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3718678,,,,OpenAlex,token communication,candidate,pending manual title/abstract/full-text screening
2026,Learning to Interfere in Non-Orthogonal Multiple-Access Joint Source-Channel Coding,Selim F. Yilmaz; Can Karamanlı; Deniz Gündüz,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3688951,25,,16859-16873,Crossref; OpenAlex,Joint Source-Channel; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,MambaJSCC: Adaptive Deep Joint Source–Channel Coding With Generalized State Space Model,Tong Wu; Zhiyong Chen; Meixia Tao; Yaping Sun; Xiaodong Xu; Wenjun Zhang; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3643835,25,,9264-9279,Crossref; OpenAlex,Joint Source–Channel; semantic coding,candidate,pending manual title/abstract/full-text screening
2026,Multimodal Semantic Communication With Information-Theoretic Disentangled Representations,Fan Gao; Youzheng Wang; Zhijin Qin; Feifei Gao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3707164,25,,19432-19447,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Multiuser Semantic Communication With Concurrent Access for Collaborative Sensing in Internet of Vehicles,Zhihong Wang; Supeng Leng; Yujie Qin; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3674666,25,,14183-14197,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Optimization of Private Semantic Communication Performance: An Uncooperative Covert Communication Method,Wenjing Zhang; Ye Hu; Tao Luo; Zhilong Zhang; Mingzhe Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3590749,25,,1408-1421,Crossref; OpenAlex,Semantic; semantic transmission,candidate,pending manual title/abstract/full-text screening
2026,Physics-Informed Reinforcement Learning for Utility-Aware Pilot Selection in LEO Channel Estimation,Da Wan; Zhongliang Deng; Wenliang Lin; Sheng Han Wu; Chunxiao Jiang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3679026,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,"Position-Aided Semantic Communication for Efficient Image Transmission: Design, Implementation, and Experimental Results",Peiwen Jiang; Chao-Kai Wen; Shi Jin; Jun Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3614765,25,,4887-4902,Crossref,Semantic,candidate,pending manual title/abstract/full-text screening
2026,"RIS-Enhanced Semantic-Aware Sensing, Communication, Computation, and Control for Internet of Things",Sun Mao; Chau Yuen; Lei Liu; Ming Xiao; Shui Yu; Ning Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3595550,25,,2231-2246,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,ROME: Robust Model Ensembling for Semantic Communication Against Semantic Jamming Attacks,Kequan Zhou; Guangyi Zhang; Yunlong Cai; Qiyu Hu; Guanding Yu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3597672,25,,2589-2606,Crossref; OpenAlex,Semantic; semantic communication,candidate,pending manual title/abstract/full-text screening
2026,Resource Allocation for Image Transmission Using Adaptive Semantic and Bit Communication,Peixuan Li; Yichen Wang; Xiao Tang; Moqi Liu; Haotian Liu; Julian Cheng,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3604516,25,,3526-3540,Crossref; OpenAlex,Semantic; semantic transmission,candidate,pending manual title/abstract/full-text screening
2026,Rethinking the PAPR Pitfall in Deep Learning-Based Semantic Communication Systems,Ruimao He; Xuefei Zhang; Yao Sun; Qimei Cui; Xiaofeng Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3704073,25,,18795-18810,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Robust Deep Joint Source-Channel Coding Enabled Distributed Image Transmission With Imperfect Channel State Information,Biao Dong; Bin Cao; Guan Gui; Qinyu Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3601155,25,,3047-3059,Crossref; OpenAlex,Joint Source-Channel; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Robust Information Bottleneck Guided Non-Autoregressive Semantic Communication With Synonymous Mapping,Mingtong Zhang; Haixia Zhang; Dongfeng Yuan; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3679533,25,,14859-14874,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Robust Semantic Communication: A Dimension Selective Fading Analysis and Repair Approach,Minghao Shang; Yang Zhang; Lihua Pang; Yaxin Ren; Yonghui Zhai; Jiandong Li,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3717328,25,,21073-21088,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Robustness-Enabled Energy-Efficient Feature Transmission for Edge Inference,Zhifeng Wang; Qunsong Zeng,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3671986,25,,13746-13760,Crossref; OpenAlex,Feature Transmission; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,SPHARQ-Based Semantic Communication,Wannian An; Chen Dong; Haotai Liang; Xiaodong Xu; Rui Meng; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3649359,25,,9548-9564,Crossref; OpenAlex,Semantic; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Scalable Deep Joint Source-Channel Coding for Multi-User Wireless Image Transmission With Diverse Bandwidth Conditions,Feng Wang; Xuechen Chen; Xiaoheng Deng; Siyu Lin,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3630680,25,,7333-7349,Crossref; OpenAlex,DeepJSCC; Joint Source-Channel; Wireless Image Transmission,candidate,pending manual title/abstract/full-text screening
2026,SemHARQ: Semantic-Aware Hybrid Automatic Repeat Request for Multi-Task Semantic Communications,Jiangjing Hu; Fengyu Wang; Wenjun Xu; Hui Gao; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3602146,25,,3170-3185,Crossref; OpenAlex,Semantic; semantic coding,candidate,pending manual title/abstract/full-text screening
2026,Semantic Communication Over MIMO Channels via Score-Based Reverse Mean Propagation,Yinuo Huang; Xiaojun Yuan; Hao Jiang; Meixia Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3703886,25,,19017-19033,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Semantic Communication-Enhanced U-Shaped Split Federated Learning With Adaptive Compression for Vehicular Networks,Lu Yu; Zheng Chang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3660781,25,,11609-11623,Crossref; OpenAlex,Semantic; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Semantic Communications for UAV Data Aggregation: A Layered Design Against Alterable Hovering Position,Lan Lin; Wenjun Xu; Yimeng Zhang; Xin Yuan; Jinglin Zhang; Zhu Han; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3614182,25,,4799-4815,Crossref,Semantic,candidate,pending manual title/abstract/full-text screening
2026,Semantic Noise-Aided Secure Image Transmission Over MIMO Fading Channels,Xue Han; Biqian Feng; Ting Zhou; Yongpeng Wu; Yuanwei Liu; Arumugam Nallanathan; Xiang-Gen Xia; Wenjun Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3703496,25,,18734-18749,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Semantic-Aware UAV Swarms for Low-Delay and Energy-Efficient Data Collection,Haiyan Li; Xuan Li; Hongyu Wang; Shufan Jia; Jinyu Yang; Mugen Peng,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3715324,,,1-1,Crossref; OpenAlex,Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
