year,title,authors,venue,doi,volume,issue,pages,sources,matched_queries,screening_status,screening_reason
2026,Large-Scale Model-Enabled Semantic Communication via Robust Knowledge Distillation and Lightweight Architecture Search,Kuiyuan Ding; Caili Guo; Yang Yang; Zhongtian Du; Walid Saad,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3687590,12,,7716-7730,Crossref; OpenAlex,Semantic Communication; knowledge base semantic communication,candidate,pending manual title/abstract/full-text screening
2026,Multi-Stage Semantic Communication for Low-Latency Edge Inference,Guangyao Ding; Huiguo Gao; Shengli Liu; Guanding Yu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3558066,12,,267-282,Crossref; OpenAlex,Semantic Communication; feature transmission edge inference,candidate,pending manual title/abstract/full-text screening
2026,Non-Orthogonal Superimposed Pilot for Goodput Enhancement in Digital Semantic Communication,Jian Zou; Jian Xiao; Han Shen; Wenwu Xie; Fanyang Meng; Liang Yang; Yongsheng Liang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3573407,12,,966-980,Crossref; OpenAlex,Digital Semantic; OFDM digital semantic communication,candidate,pending manual title/abstract/full-text screening
2026,On the Effectiveness of Task-Oriented Digital Semantic Communication System,Xingyu Mao; Qifa Yan; Bin Dai; Xiaohu Tang; Zhengchun Zhou,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3628475,12,,3436-3451,Crossref; OpenAlex,Task-Oriented Digital Semantic Communication; semantic information transmission,candidate,pending manual title/abstract/full-text screening
2026,Over-the-Air ODE-Inspired Neural Network for Dual Task-Oriented Semantic Communications,Mengbing Liu; Jiancheng An; Chongwen Huang; Chau Yuen,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3569604,12,,805-819,Crossref; OpenAlex,DeepSC; Task-Oriented Semantic,candidate,pending manual title/abstract/full-text screening
2026,PLM-Based Two-Stage Semantic Encoding for Task-Oriented Semantic Communication on the Fly,Qing Cai; Yiqing Zhou; Ling Liu; Nankun Wang; Pingyi Fan; Tianjiao Chen; Baoming Bai; Yihao Wu; Guangyi Liu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3718954,12,,11183-11200,Crossref; OpenAlex,Task-Oriented Semantic; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Personalized Federated Learning for GAI-Assisted Semantic Communications,Yubo Peng; Feibo Jiang; Li Dong; Kezhi Wang; Kun Yang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3586904,12,,2513-2525,Crossref; OpenAlex,Semantic Communications; knowledge base semantic communication,candidate,pending manual title/abstract/full-text screening
2026,Rate-Adaptive Vector Quantization for Deep Joint Source-Channel Coding,Jiwan Seo; Jeongseok Ha; Joonhyuk Kang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3720206,12,,11087-11101,Crossref; OpenAlex,Joint Source-Channel Coding; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2026,Region-of-Interest Oriented Image Semantic Communication,Heng Zhu; Yuanyuan Xu; Kun Zhu; Juan Li; Dusit Niyato,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3668816,12,,6598-6612,Crossref; OpenAlex,Semantic Communication; semantic channel coding,candidate,pending manual title/abstract/full-text screening
2026,Resource Allocation for Semantic Communication in NTN Downlinks,Frodouard Minani; Makoto Kobayashi; Takuya Fujihashi; Md. Abdul Alim; Shunsuke Saruwatari; Masahiro Nishi; Takashi Watanabe,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3558006,12,,524-544,Crossref; OpenAlex,Semantic Communication; semantic resource allocation,candidate,pending manual title/abstract/full-text screening
2026,SADJSCC: Semantic-Aware DJSCC With Attribute Fidelity Evaluation for Channel-Adaptive Image Transmission,Man Xu; Chan–Tong Lam; Yuanhui Liang; Benjamin Ng; Hawking Lai; Bowen Liu; Xiaochen Yuan; Sio‐Kei Im,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3690646,,,,OpenAlex,joint source channel coding,candidate,pending manual title/abstract/full-text screening
2026,SCAW: Exploring Semantic Structures of Radio Signals via Soft Top- <i>k</i> Contrastive and Adaptive Consistency With Wavelet Refinement,Yong Zu; Shuyuan Yang; Zhixi Feng; Xinlei Zhang; Yanbin Lu; Shuai Chen; Jianxing Liu; Qiukai Pan,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3663600,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,ST-VJSCC: Spatio-Temporal Video DeepJSCC Scheme for Adaptive Wireless Transmission,Xinyi Zhou; Danlan Huang; Zhixin Qi; Ting Jiang; You Yang; Zhiyong Feng,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3641521,12,,5047-5062,Crossref; OpenAlex,DeepJSCC,candidate,pending manual title/abstract/full-text screening
2026,Secure Intellicise Wireless Network: Agentic AI for Coverless Semantic Steganography Communication,Rui Meng; Song Gao; Bingxuan Xu; Xiaodong Xu; Jianqiao Chen; Nan Ma; Pei Xiao; Ping Zhang; Rahim Tafazolli,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3692413,,,,OpenAlex,semantic information transmission,candidate,pending manual title/abstract/full-text screening
2026,Secure and Robust Joint Source-Channel Coding With Semantic Clustering and Adversarial Purification,Xin Huang; Liang Zeng; Yaojun Lu; Jianping An,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3556777,12,,204-216,Crossref; OpenAlex,Joint Source-Channel Coding; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2026,SemDiffShield: Agentic AI-Empowered Secure Image Semantic Communication via Cryptographic Diffusion,Taojie Zhu; Ao Zhang; Qiang Wu; Mingkai Chen; Zhenyu Liu; Tiesong Zhao; Lei Wang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3710538,12,,9775-9789,Crossref; OpenAlex,Semantic Communication; semantic communication,candidate,pending manual title/abstract/full-text screening
2026,Semantic Communication for Cooperative Perception Using HARQ,Yucheng Sheng; Le Liang; Hao Ye; Shi Jin; Geoffrey Ye Li,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3579540,12,,1139-1154,Crossref; OpenAlex,Semantic Communication; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2026,Semantic Communication for Machines: A Joint Transmission and Understanding Design,Qi He; Hongxin Zhang; Kaiwen Yu; Gang Wu; Zhi Chen; Tony Q. S. Quek,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3683217,12,,7382-7398,Crossref; OpenAlex,Semantic Communication; semantic-aware communication,candidate,pending manual title/abstract/full-text screening
2026,Semantic Feature Division Multiple Access for Digital Semantic Multiple Access Channels,Bin Shen; Shuai Ma; Rui Chen; Youlong Wu; Hang Li; Guangming Shi; Shiyin Li; Naofal Al-Dhahir,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3558018,12,,283-297,Crossref; OpenAlex,Digital Semantic; Semantic Feature; semantic information transmission,candidate,pending manual title/abstract/full-text screening
2026,"Semantic Radio Access Networks: Architecture, State-of-the-Art, and Future Directions",Rui Meng; Zixuan Huang; Jingshu Yan; Mengying Sun; Yiming Liu; Chenyuan Feng; Xiaodong Xu; Zhidi Zhang; Song Gao; Ping Zhang; Tony Q. S. Quek,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3683191,,,,OpenAlex,semantic resource allocation,candidate,pending manual title/abstract/full-text screening
2026,Task-Adaptive Semantic Communication With Feedback: A Conditional Rate-Distortion Approach,Jinghang He; Yajing Deng; Shaohua Wu; Bin Cao; Siqi Meng; Weihan Zhang; Qinyu Zhang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3682513,12,,7157-7171,Crossref; OpenAlex,Adaptive Semantic; full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Task-Generalizable Deep Joint Source-Channel Coding via Hierarchical Masked Autoencoders,Simin Dai; Xuechen Chen; Xiaoheng Deng; Siyu Lin,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3691535,12,,7983-7996,Crossref; OpenAlex,DeepJSCC; Joint Source-Channel Coding,candidate,pending manual title/abstract/full-text screening
2026,Topic Enhanced Semantic Communication System for Reliable Semantic Recovery,Yuyuan Zhang; Yichi Zhang; Haitao Zhao; Peng Luo; Kaiwen Tan; Jiewen Deng; Jibo Wei,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3579558,12,,2814-2828,Crossref; OpenAlex,Semantic Communication; semantic information transmission,candidate,pending manual title/abstract/full-text screening
2026,Toward Intelligent IoT Services: A Generative AI-Assisted Semantic-Aware Framework,Xupeng Niu; Weijie Yuan; Long Tan; Jun Wu; Xianbin Wang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3677174,,,,OpenAlex,semantic information transmission,candidate,pending manual title/abstract/full-text screening
2026,TrustPKBG: Trustworthy Protocol Knowledge Blueprints Generation via LLM for Low-Altitude AAV Networks,Fan Wu; Yuxin Zhang; Gaolei Li; Jianhua Li; Jin Ma,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3658765,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2026,Uplink-Assisted Joint Channel Estimation and CSI Feedback: An Approach Based on Deep Joint Source-Channel Coding,Yiran Guo; Wei Chen; Bo Ai,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3676414,12,,6726-6740,Crossref; OpenAlex,Joint Source-Channel Coding; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2026,VQ-DSC-R: Robust Vector Quantized-Enabled Digital Semantic Communication With OFDM Transmission,Jianqiao Chen; Nan Ma; Xiaodong Xu; Tingting Zhu; Huishi Song; Chen Dong; Wenkai Liu; Rui Meng; Ping Zhang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3712380,12,,10060-10077,Crossref; OpenAlex,OFDM digital semantic communication; Vector Quantized-Enabled Digital Semantic Communication,candidate,pending manual title/abstract/full-text screening
